"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.03","0.02","0.01","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","",
"American Samoa","ASM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12","5.55","2.64","2.48","1.98","1.22","0.7","0.53","0.35","0.37","0.24","0.02","0.01","0","0","0","0","0","0","0","0","0","0","0","","",
"Burundi","BDI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427.48","416.12","388.13","343.45","295.97","284.48","287.78","287.94","288.77","281.56","259.34","245.35","232.24","234.96","250.86","285","321.3","346.29","350.82","345.28","345.14","349.97","342.31","323.25","314.9","",
"Belgium","BEL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416","434.27","453.46","473.3","495.55","510.17","508.93","496.75","473.51","448.56","417.07","382.99","365.18","362.14","369.11","390.76","415.92","415.74","407.71","399.91","377.01","378.2","376.6","361.26","354.25","",
"Burkina Faso","BFA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","597.17","597.54","592.47","582.14","559.01","528.52","511.16","519.27","549.65","568.59","568.37","554.68","533.39","487.14","446.14","417.95","373.17","356.56","356.23","356.49","378.17","378.58","356.27","353.49","353.49","",
"Bangladesh","BGD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.62","6.62","6.62","6.62","6.62","6.62","4.34","7.96","7.51","4.96","4.23","3.83","2.12","1.87","3.89","2.65","1.82","1.91","0.7","1.19","0.42","0.5","1.23","1.1","0.86","",
"Bulgaria","BGR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.94","6.78","6.42","7.27","5.69","8.03","4.25","4.14","2.57","1.19","0.68","0.32","0.14","0.08","0.08","0.04","0.02","0.03","0.01","0","0","0","0","0","0","",
"Bermuda","BMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.69","5.62","4.9","6.71","4.84","6.43","5.96","4.51","2.96","2.94","4.04","2.06","2.11","2.25","2.23","1.86","1.48","1.2","1.39","2.39","3.08","2.49","2.55","2.51","3.83","",
"Brazil","BRA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.54","13.05","11.24","12.7","13.93","17.56","15.42","13.96","8.69","8.43","9.92","7.16","6.46","4.91","3.61","4.02","3.2","5.32","5.23","4.24","3.95","3.47","3.21","3.81","3.75","",
"Barbados","BRB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.44","13.23","14.09","8.07","5.55","3.73","3.76","1.58","0.65","2.06","0.84","0.37","0.15","0.03","0.04","0.06","0.03","0.02","0.01","0","0.04","0.02","0","0","0","",
"Botswana","BWA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.23","6.79","3.17","1.58","1.02","1.2","3.86","1.02","1.9","2.06","1.65","0.5","0.22","0.51","1.44","0.31","0.67","1.96","0.53","0.17","1.13","0.67","0.34","0.47","0.2","",
"Central African Republic","CAF","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","438.12","438.51","447.85","455.24","461.27","465.26","467.93","467.59","465.74","463.55","453.11","443.04","434.79","427.32","420.39","410.31","395.97","387.44","385.26","383.29","376.08","364.25","354.5","345.98","343.84","",
"Canada","CAN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.04","0.05","0.05","0.05","0.04","0.06","0.05","0.03","0.02","0.01","0","0","0","0","0","0","0","0","0","0","","0","","0","",
"Cote d'Ivoire","CIV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490.52","502.24","506.32","509.61","500.36","466.34","425.61","391.51","392.97","426.16","458.12","461.58","375.19","287.39","243.25","242.12","258.1","268.54","280.22","292.76","295.66","283.64","280.87","269.25","267.95","",
"Cameroon","CMR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394.85","426.29","437.17","441.4","438.73","435.58","425.95","409.95","391.63","351.15","295.67","266.6","261.14","271.1","272.51","271.06","268.53","258.98","248.98","243.44","264.81","270.65","265.03","259.08","260.46","",
"Congo, Dem. Rep.","COD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","458.24","457.6","460.7","467.36","467.62","468.33","464.8","448.32","429.83","405.23","381.32","360.23","335.8","310.49","297.36","303.04","310.28","324.07","337.42","339.77","338.92","338.04","327.94","325.29","321.89","",
"Congo, Rep.","COG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349.6","349.06","327.04","327.91","325.79","309.02","286.84","254.97","226.41","214.45","214.44","215.68","215.9","218.19","213.06","210.62","215.75","235.9","249.77","245.94","240.84","232.02","220.52","219.46","221.02","",
"Colombia","COL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.35","37.88","32.64","28.05","21.47","17.89","17.5","18.09","11.35","11.28","16.6","8.99","8.32","7.08","5.53","8.16","11","7.6","8.64","11.16","10.15","9.13","8.88","12.66","15.19","",
"Comoros","COM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.37","65.07","63.81","62.56","61.31","60.09","58.91","57.75","56.61","55.49","55.8","37.21","73.12","76.35","3.1","2.59","1.98","5.15","19.68","22.37","5.67","12.88","24.78","24.75","62.79","",
"Cabo Verde","CPV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22","0.89","0.63","0.55","0.36","0.54","0.63","0.14","0.27","0.49","0.35","0.05","0.01","0.17","0.2","0.05","0.37","3.17","0.01","0","0","0","0","0","0.14","",
"Costa Rica","CRI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.36","0.97","0.72","0.5","0.88","2.37","1.92","0.8","0.62","0.17","0.07","0.01","0","0","0","0","0","0.01","0.04","0.05","0.05","0.11","0.23","0.3","0.13","",
"Caribbean small states","CSS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07","3.07","3.07","3.07","3.07","3.07","3.07","3.07","3.07","3.93","1.45","3.07","3.07","2.28","12.55","12.38","17.76","18.72","30.91","60.51","88.72","70.07","47.67","45.04","45.09","",
"Dominica","DMA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","0.27","0.35","0.4","0.61","0.97","0.88","0.67","0.45","0.4","0.59","0.38","0.22","0.11","0.1","0.13","0.14","0.07","0.09","0.25","0.16","0.05","0.05","0.04","0.19","",
"Algeria","DZA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0","0.01","0","0","0","0","0.01","0","0","0","0","0.02","0","0","0","0","0","0","0","0","0","0","0","0","",
"East Asia & Pacific (excluding high income)","EAP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.00028267443816","5.64281957129256","5.26710642011589","5.28907672781084","5.66828570535913","5.23111811591404","5.14616303345713","4.56428561814947","4.68225648570825","5.08620635277582","5.20546176181731","4.48990318806008","5.11359822550256","3.76282782745279","3.40481598802458","2.41313742914021","2.53852677350971","2.25729243848562","2.07308351343302","1.96974421215318","2.01857569955384","","2.68210149782076","","2.82064747292952","",
"Early-demographic dividend","EAR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1530075644515","28.259126185634","26.2211345366685","26.6651812628579","27.2308674465315","25.6049789001352","21.834013333871","19.8505226379205","18.4501283602819","20.3407226553649","21.2793821015423","18.9419251406548","18.2843068250288","17.3667827165805","16.0902734086985","15.3669069427345","14.377716685403","14.3538666656656","10.8118100156901","9.93411815161571","9.60121230931668","8.47137721698632","9.37186563441161","11.5289256027143","12.3766828438778","",
"East Asia & Pacific","EAS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.98372975754091","5.62583996419188","5.25066826289862","5.27198011477473","5.6496587497386","5.2146077410264","5.13072084562247","4.55107113276737","4.66754203144098","5.07005295633502","5.18935694259451","4.47547846066542","5.0969687077633","3.75068878253324","3.39403003164992","2.40571238417778","2.53066771476298","2.25023221040008","2.06672453044442","1.96371459720732","2.01230908516488","","2.67376952251488","","2.81214874715595","",
"Europe & Central Asia (excluding high income)","ECA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00174250495479419","0.000879207769586426","0","0","0","0","0","0","0","","","","","","",
"Europe & Central Asia","ECS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.54","14.88","11.65","6.87","3.73","2.17","1.24","1.01","0.59","0.49","0.22","0.14","0.06","0.04","0.03","0.07","0.13","0.13","0.17","0.18","0.19","0.22","0.13","0.06","0.04","",
"Egypt, Arab Rep.","EGY","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Euro area","EMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","23.56","13.72","19.84","5.81","10.4","6.08","13.69","7.37","9.58","28.34","25.57","17.28","16.04","35.44","20.61","27.7","36.8","31.23","61.84","48.28","27.74","40.89","63.39","102.42","",
"Spain","ESP","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189.18","210.9","193.55","208.94","217.88","149.48","138.01","116.37","96.3","133.79","153.84","143.7","159.67","184.1","144.07","130.06","92.89","70.71","36.46","33.61","52.28","45.56","59.89","109.24","138.5","",
"European Union","EUU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","277.015726554423","278.809559768257","271.713552644628","271.282800682669","271.41372872905","264.2417135846","260.224375971949","254.484862050205","248.130723714116","246.23870552737","238.892535663488","227.064097897377","220.868273242372","214.455735636034","205.878679340758","201.9941008826","199.386055583686","200.860577203511","198.531292699326","197.157817980534","203.703657704126","200.035974298037","200.123026284207","206.319393358855","207.532091492077","",
"Finland","FIN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364.66","353.69","323.31","259.04","196.66","158.04","131.79","121.2","124.41","147.03","177.88","195.4","200.15","199.19","193.87","185.36","182.55","184.66","186.73","190.72","193.57","189.19","188.68","191.3","187","",
"United Kingdom","GBR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.66","10.4","11.48","7.73","6.34","3.85","1.48","0.6","0.15","0.03","0","0","0","0","0","0","0","0","0","0","0","","","0","0","",
"Ghana","GHA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430.36","411.18","392.1","365.98","340.21","323.73","311.34","305.83","314.58","340.42","366.4","375.14","367.32","344.33","313.81","275.99","244.92","226.19","212.76","215.27","219.63","212.47","210.79","194.92","195.77","",
"Gibraltar","GIB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","415.77","414.39","418.97","425.18","425.36","420.24","404.99","384.49","378.78","393.8","415.74","428.78","431.75","413.73","396.69","384.39","366.52","358.48","350.28","321.2","304.94","294.45","285.7","285.5","286.08","",
"Gambia, The","GMB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","309.72","301.46","293.32","285.25","277.25","269.36","261.65","254.15","246.86","239.74","232.81","238.87","256.47","204.12","140.32","202.51","130.07","63.21","81.75","44.76","83.83","62.48","95.52","87.51","75.44","",
